customerID,phoneDescription,internetDescription
6551-GNYDG,Phone service,Fiber optic with streaming movies
9167-APMXZ,Phone service with multiple lines,Fiber optic with streaming tv
2749-CTKAJ,Phone service,None
6371-NZYEG,Phone service,"DSL with online security, device protection, streaming tv"
7554-NEWDD,Phone service with multiple lines,None
8992-VONJD,Phone service,"DSL with online security, online backup"
0867-MKZVY,Phone service with multiple lines,Fiber optic with online security
4482-EWFMI,Phone service,Fiber optic
4648-YPBTM,Phone service with multiple lines,"DSL with online backup, device protection, tech support, streaming movies"
2907-ILJBN,Phone service,None
6345-FZOQH,Phone service,None
3376-BMGFE,Phone service,Fiber optic
5997-OPVFA,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
3445-HXXGF,None,"DSL with online backup, device protection, streaming movies"
1159-WFSGR,Phone service,None
7654-YWJUF,Phone service,"Fiber optic with online security, device protection, tech support"
1875-QIVME,Phone service with multiple lines,"Fiber optic with device protection, tech support, streaming tv, streaming movies"
6727-IOTLZ,Phone service,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
0691-JVSYA,Phone service,"Fiber optic with device protection, streaming tv, streaming movies"
5918-VUKWP,Phone service,None
1744-JHKYS,Phone service with multiple lines,None
2656-FMOKZ,Phone service with multiple lines,Fiber optic
2070-FNEXE,Phone service,Fiber optic with online security
5947-SGKCL,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
3712-PKXZA,Phone service,None
6317-YPKDH,None,DSL with online backup
6582-OIVSP,Phone service,DSL
9367-WXLCH,Phone service with multiple lines,Fiber optic with streaming movies
5524-KHNJP,Phone service,"DSL with online security, device protection, streaming tv, streaming movies"
1918-ZBFQJ,Phone service,"Fiber optic with online backup, device protection"
1024-GUALD,None,DSL
4827-USJHP,Phone service,DSL with online backup
8167-GJLRN,None,DSL with tech support
0956-SYCWG,Phone service,None
8017-UVSZU,Phone service with multiple lines,DSL with online backup
7100-FQPRV,Phone service with multiple lines,"DSL with online security, tech support, streaming movies"
2472-OVKUP,Phone service,"Fiber optic with online backup, device protection, streaming movies"
2984-RGEYA,Phone service,None
9680-NIAUV,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming tv, streaming movies"
2146-EGVDT,Phone service,None
2604-IJPDU,Phone service,"Fiber optic with online security, online backup, tech support, streaming tv"
9178-JHUVJ,Phone service with multiple lines,None
6168-YBYNP,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
7255-SSFBC,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
3645-DEYGF,Phone service,None
9323-HGFWY,Phone service,"Fiber optic with online security, tech support, streaming tv, streaming movies"
8544-GOQSH,Phone service,"Fiber optic with online backup, tech support"
3363-DTIVD,Phone service with multiple lines,"Fiber optic with online security, device protection, streaming tv, streaming movies"
7018-WBJNK,Phone service,Fiber optic with streaming tv
9142-KZXOP,Phone service,Fiber optic
7674-YTAFD,Phone service,"Fiber optic with online backup, tech support"
6348-SNFUS,None,"DSL with online security, online backup, device protection, tech support, streaming movies"
1285-OKIPP,Phone service,Fiber optic with streaming movies
7825-ECJRF,Phone service,"Fiber optic with online security, device protection, tech support, streaming tv, streaming movies"
1347-KTTTA,Phone service,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
7841-TZDMQ,Phone service,DSL
4195-NZGTA,None,DSL
7157-SMCFK,Phone service,None
4709-LKHYG,Phone service,None
2504-DSHIH,Phone service with multiple lines,Fiber optic with streaming movies
0699-NDKJM,None,"DSL with online security, online backup, device protection, streaming tv, streaming movies"
9286-BHDQG,None,"DSL with online security, online backup, device protection, tech support"
0230-WEQUW,None,"DSL with online security, online backup, device protection, tech support, streaming tv"
2040-LDIWQ,Phone service with multiple lines,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
6496-JDSSB,Phone service,Fiber optic with streaming tv
9408-SSNVZ,Phone service,Fiber optic
4443-EMBNA,Phone service with multiple lines,None
6469-MRVET,Phone service,None
0742-MOABM,Phone service,DSL with tech support
5961-VUSRV,Phone service,None
6778-JFCMK,None,"DSL with online security, streaming tv, streaming movies"
6341-JVQGF,Phone service,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
2232-DMLXU,Phone service,DSL with streaming tv
4811-JBUVU,Phone service with multiple lines,"Fiber optic with tech support, streaming movies"
0945-TSONX,Phone service with multiple lines,"DSL with online security, online backup, tech support, streaming tv, streaming movies"
2651-ZCBXV,Phone service with multiple lines,"Fiber optic with online security, online backup, tech support, streaming tv, streaming movies"
3316-UWXUY,Phone service,"Fiber optic with online security, online backup, tech support, streaming movies"
8937-RDTHP,Phone service,"Fiber optic with online security, streaming movies"
7083-MIOPC,Phone service,None
1984-GPTEH,Phone service with multiple lines,None
1251-KRREG,Phone service with multiple lines,DSL with online backup
0621-JFHOL,None,DSL with tech support
9903-LYSAB,Phone service with multiple lines,Fiber optic
0094-OIFMO,Phone service,"Fiber optic with online backup, streaming tv, streaming movies"
9227-UAQFT,Phone service,None
7301-ABVAD,Phone service with multiple lines,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
6614-FHDBO,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
7576-ASEJU,Phone service,"DSL with online security, tech support, streaming tv, streaming movies"
9058-HRZSV,Phone service,"Fiber optic with online security, online backup, device protection, streaming movies"
4522-AKYLR,Phone service,"DSL with online backup, device protection"
0221-WMXNQ,Phone service,Fiber optic with online security
0303-UNCIP,Phone service with multiple lines,"DSL with device protection, streaming movies"
9947-OTFQU,Phone service,Fiber optic with online backup
0322-YINQP,Phone service,DSL with online security
0959-WHOKV,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming movies"
4075-JFPGR,Phone service,"Fiber optic with online security, online backup, device protection, streaming tv"
4629-NRXKX,Phone service,Fiber optic
9514-JDSKI,None,"DSL with online backup, streaming tv"
3282-ZISZV,Phone service with multiple lines,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
3675-YDUPJ,Phone service,None
4111-BNXIF,None,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
7017-VFHAY,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
6655-LHBYW,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
4959-JOSRX,Phone service,DSL
5046-NUHWD,None,"DSL with online security, device protection, streaming movies"
7273-TEFQD,None,"DSL with device protection, streaming movies"
3606-TWKGI,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
7529-ZDFXI,Phone service with multiple lines,"Fiber optic with online backup, streaming movies"
7605-BDWDC,None,"DSL with online security, online backup, tech support, streaming movies"
1950-KSVVJ,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
0123-CRBRT,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
6292-TOSSS,Phone service with multiple lines,None
3197-ARFOY,Phone service,"Fiber optic with online security, online backup, tech support, streaming tv, streaming movies"
6323-AYBRX,Phone service,None
7014-ZZXAW,Phone service with multiple lines,None
4385-GZQXV,Phone service,"Fiber optic with tech support, streaming tv, streaming movies"
7633-MVPUY,Phone service,"DSL with online security, online backup, tech support"
6366-ZGQGL,None,DSL
4716-HHKQH,Phone service with multiple lines,"Fiber optic with online backup, tech support, streaming tv, streaming movies"
5940-AHUHD,Phone service,Fiber optic
6432-TWQLB,Phone service with multiple lines,"Fiber optic with online backup, tech support"
4484-GLZOU,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
3179-GBRWV,Phone service,"DSL with online security, online backup, streaming movies"
8645-KWHJO,None,"DSL with device protection, tech support, streaming tv, streaming movies"
4130-MZLCC,Phone service,DSL with online backup
0314-TKOSI,Phone service,"DSL with online security, online backup"
8229-MYEJZ,Phone service,DSL with online backup
2080-SRCDE,Phone service with multiple lines,None
9577-WJVCQ,Phone service with multiple lines,DSL with online security
9512-UIBFX,Phone service,"Fiber optic with device protection, streaming tv, streaming movies"
6202-DYYFX,Phone service with multiple lines,Fiber optic
3808-HFKDE,Phone service,DSL
5583-SXDAG,Phone service,Fiber optic
3488-PGMQJ,Phone service,Fiber optic with online backup
3580-REOAC,Phone service,DSL
7534-BFESC,Phone service with multiple lines,Fiber optic
3727-OWVYD,Phone service,"DSL with online security, online backup, device protection"
2294-SALNE,Phone service,"Fiber optic with online backup, device protection, tech support"
4847-TAJYI,Phone service,"Fiber optic with streaming tv, streaming movies"
1563-IWQEX,Phone service,None
8203-XJZRC,Phone service,None
6556-DBKZF,Phone service,Fiber optic with device protection
6851-WEFYX,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
2985-JUUBZ,Phone service with multiple lines,"DSL with device protection, streaming tv, streaming movies"
6390-DSAZX,Phone service,Fiber optic with online security
0895-LMRSF,Phone service,"DSL with streaming tv, streaming movies"
8098-LLAZX,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
8266-VBFQL,Phone service,"Fiber optic with device protection, tech support, streaming movies"
8181-YHCMF,None,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
2240-HSJQD,Phone service with multiple lines,Fiber optic with online backup
1248-DYXUB,Phone service with multiple lines,None
0265-EDXBD,Phone service with multiple lines,Fiber optic
4115-BNPJY,Phone service,"DSL with device protection, tech support, streaming tv, streaming movies"
3167-SNQPL,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
4091-TVOCN,Phone service with multiple lines,"DSL with online security, device protection, streaming tv, streaming movies"
1098-TDVUQ,Phone service,None
7277-OZCGZ,Phone service,"Fiber optic with online security, tech support, streaming movies"
1557-EMYVT,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
2799-ARNLO,Phone service,Fiber optic
7563-BIUPC,Phone service,Fiber optic with streaming tv
5027-YOCXN,Phone service with multiple lines,"Fiber optic with online security, online backup, tech support, streaming tv, streaming movies"
3973-SKMLN,Phone service,None
2321-OMBXY,Phone service,"DSL with online security, online backup, tech support, streaming tv, streaming movies"
2840-XANRC,Phone service,"Fiber optic with device protection, streaming tv, streaming movies"
6745-JEFZB,Phone service with multiple lines,"Fiber optic with tech support, streaming tv"
5020-ZSTTY,Phone service with multiple lines,"DSL with online security, online backup, tech support, streaming tv, streaming movies"
9880-TDQAC,None,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
8705-WZCYL,Phone service,DSL
7102-JJVTX,Phone service,DSL with online security
8626-PTQGE,None,"DSL with online security, online backup, tech support, streaming tv, streaming movies"
4983-CLMLV,Phone service with multiple lines,"Fiber optic with online backup, tech support, streaming tv, streaming movies"
5701-YVSVF,Phone service,"Fiber optic with tech support, streaming tv"
5804-LEPIM,Phone service,Fiber optic
5697-GOMBF,None,DSL with streaming tv
2739-CACDQ,Phone service with multiple lines,Fiber optic with device protection
9385-EHGDO,Phone service,None
9498-FIMXL,Phone service,None
2379-GYFLQ,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv"
0122-OAHPZ,Phone service with multiple lines,Fiber optic
2868-SNELZ,Phone service with multiple lines,Fiber optic with device protection
4322-RCYMT,Phone service with multiple lines,"DSL with online backup, device protection, tech support, streaming movies"
6680-NENYN,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
2088-IEBAU,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
7982-VCELR,Phone service,"Fiber optic with online backup, streaming tv, streaming movies"
1343-EHPYB,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
6035-BXTTY,Phone service,"DSL with online backup, tech support"
6885-PKOAM,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
7520-HQWJU,Phone service with multiple lines,"DSL with online security, online backup, device protection"
9639-BUJXT,Phone service,None
5924-SNGKP,Phone service,None
0021-IKXGC,Phone service with multiple lines,Fiber optic
2034-GDRCN,Phone service,"Fiber optic with streaming tv, streaming movies"
8966-SNIZF,Phone service,None
6243-OZGFH,None,"DSL with streaming tv, streaming movies"
4654-DLAMQ,Phone service,"Fiber optic with online security, online backup, device protection, streaming movies"
0513-RBGPE,Phone service with multiple lines,"DSL with online security, device protection, tech support"
5160-UXJED,Phone service,DSL
4115-NZRKS,Phone service,"Fiber optic with streaming tv, streaming movies"
0219-YTZUE,Phone service with multiple lines,"Fiber optic with online backup, device protection"
0623-IIHUG,None,"DSL with online security, streaming tv"
4572-DVCGN,Phone service,Fiber optic with streaming movies
3351-NGXYI,Phone service with multiple lines,DSL with online security
8984-EYLLL,Phone service with multiple lines,"Fiber optic with online backup, tech support, streaming tv, streaming movies"
9057-MSWCO,None,DSL with online security
9833-TGFHX,Phone service with multiple lines,"Fiber optic with online security, streaming tv, streaming movies"
9294-TDIPC,Phone service,None
5229-DTFYB,Phone service,"Fiber optic with online backup, tech support, streaming tv, streaming movies"
0104-PPXDV,Phone service,DSL with device protection
5176-LMJXE,Phone service,None
3583-KRKMD,Phone service,Fiber optic with tech support
1010-DIAUQ,Phone service,"Fiber optic with device protection, streaming tv, streaming movies"
9069-LGEUL,Phone service,"DSL with online security, streaming movies"
7302-ZHMHP,Phone service,None
9571-EDEBV,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
3520-FJGCV,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
6563-VRERX,Phone service,None
0259-GBZSH,Phone service with multiple lines,Fiber optic with streaming tv
6122-EFVKN,None,"DSL with online security, tech support"
2805-EDJPQ,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming movies"
6862-CQUMB,Phone service,"Fiber optic with online backup, streaming tv, streaming movies"
7156-MXBJE,Phone service with multiple lines,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
6158-HDPXZ,None,DSL
9601-BRXPO,Phone service with multiple lines,"Fiber optic with device protection, tech support, streaming tv, streaming movies"
2863-IMQDR,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
5686-CMAWK,Phone service with multiple lines,"Fiber optic with device protection, tech support"
5651-CRHKQ,Phone service,"Fiber optic with online backup, device protection, tech support"
6905-NIQIN,Phone service,DSL with online backup
8204-YJCLA,None,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
5167-ZFFMM,Phone service with multiple lines,"Fiber optic with online backup, streaming movies"
6583-SZVGP,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
4895-TMWIR,Phone service,None
0533-BNWKF,Phone service with multiple lines,"Fiber optic with online backup, device protection"
1708-PBBOA,None,"DSL with online security, online backup, device protection, tech support, streaming movies"
8782-LKFPK,Phone service with multiple lines,"Fiber optic with device protection, streaming movies"
5522-JBWMO,Phone service,DSL
3597-MVHJT,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
9774-NRNAU,Phone service with multiple lines,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
0224-RLWWD,Phone service,DSL
9967-ATRFS,Phone service,None
3951-NJCVI,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
2977-CEBSX,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
0177-PXBAT,Phone service with multiple lines,"Fiber optic with online security, device protection, tech support, streaming tv, streaming movies"
6599-CEBNN,Phone service,Fiber optic with online backup
2519-ERQOJ,None,"DSL with device protection, tech support, streaming tv, streaming movies"
5876-QMYLD,Phone service,None
2277-AXSDC,Phone service,None
9442-JTWDL,Phone service,None
0979-PHULV,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
3067-SVMTC,Phone service,"DSL with online security, tech support"
5495-GPSRW,Phone service,None
7606-BPHHN,Phone service,None
4742-DRORA,Phone service with multiple lines,"Fiber optic with online security, device protection, streaming tv"
0111-KLBQG,Phone service,"Fiber optic with online backup, streaming tv, streaming movies"
4800-VHZKI,Phone service,None
7989-CHGTL,Phone service,None
0334-GDDSO,Phone service with multiple lines,Fiber optic with online backup
4163-NCJAK,Phone service with multiple lines,None
5233-AOZUF,Phone service with multiple lines,Fiber optic
5973-EJGDP,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support"
1996-DBMUS,Phone service,Fiber optic
7916-VCCPB,Phone service,Fiber optic with online backup
4686-GEFRM,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming movies"
5249-QYHEX,Phone service with multiple lines,None
0578-SKVMF,Phone service,"Fiber optic with online backup, streaming movies"
5564-NEMQO,Phone service,Fiber optic with device protection
2233-FAGXV,Phone service with multiple lines,None
5605-IYGFG,Phone service,Fiber optic
7663-ZTEGJ,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming movies"
3935-TBRZZ,Phone service with multiple lines,None
8111-BKVDS,None,"DSL with online security, online backup, device protection"
2055-SIFSS,Phone service with multiple lines,DSL
2806-MLNTI,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
8734-DKSTZ,Phone service with multiple lines,Fiber optic with streaming movies
4360-PNRQB,Phone service with multiple lines,Fiber optic
6152-ONASV,Phone service with multiple lines,"DSL with online security, tech support"
9063-ZGTUY,Phone service,None
7781-HVGMK,None,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
2181-UAESM,Phone service,"DSL with online security, device protection"
2957-LOLHO,Phone service,DSL
6048-NJXHX,Phone service,None
2320-SLKMB,None,"DSL with device protection, tech support, streaming tv"
4980-URKXC,Phone service,None
4376-KFVRS,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
5886-VLQVU,Phone service with multiple lines,"Fiber optic with tech support, streaming movies"
