customerID,subscriptionDescription,contractDescription,TotalCharges
7310-EGVHZ,Is subscribed for 1 months at a monthly cost of 20.2,Month-to-month Bank transfer (automatic),20.2
3413-BMNZE,Is subscribed for 1 months at a monthly cost of 45.25,Month-to-month Bank transfer (automatic),45.25
6234-RAAPL,Is subscribed for 72 months at a monthly cost of 99.9,Two year Bank transfer (automatic),7251.7
6047-YHPVI,Was subscribed for 5 months at a monthly cost of 69.7,Month-to-month Electronic check paperless billing,316.9
6572-ADKRS,Is subscribed for 46 months at a monthly cost of 74.8,Month-to-month Credit card (automatic) paperless billing,3548.3
5380-WJKOV,Was subscribed for 34 months at a monthly cost of 106.35,Month-to-month Electronic check paperless billing,3549.25
8168-UQWWF,Was subscribed for 11 months at a monthly cost of 97.85,Month-to-month Bank transfer (automatic) paperless billing,1105.4
8865-TNMNX,Is subscribed for 10 months at a monthly cost of 49.55,One year Mailed check,475.7
9489-DEDVP,Is subscribed for 70 months at a monthly cost of 69.2,Two year Credit card (automatic) paperless billing,4872.35
9867-JCZSP,Is subscribed for 17 months at a monthly cost of 20.75,One year Mailed check,418.25
4671-VJLCL,Is subscribed for 63 months at a monthly cost of 79.85,Two year Credit card (automatic) paperless billing,4861.45
4080-IIARD,Is subscribed for 13 months at a monthly cost of 76.2,Month-to-month Electronic check paperless billing,981.45
3714-NTNFO,Is subscribed for 49 months at a monthly cost of 84.5,Month-to-month Electronic check paperless billing,3906.7
5948-UJZLF,Is subscribed for 2 months at a monthly cost of 49.25,Month-to-month Mailed check,97
7760-OYPDY,Was subscribed for 2 months at a monthly cost of 80.65,Month-to-month Electronic check paperless billing,144.15
7639-LIAYI,Is subscribed for 52 months at a monthly cost of 79.75,Two year Credit card (automatic) paperless billing,4217.8
2954-PIBKO,Is subscribed for 69 months at a monthly cost of 64.15,Two year Credit card (automatic) paperless billing,4254.1
8012-SOUDQ,Is subscribed for 43 months at a monthly cost of 90.25,Month-to-month Electronic check paperless billing,3838.75
9420-LOJKX,Was subscribed for 15 months at a monthly cost of 99.1,Month-to-month Credit card (automatic) paperless billing,1426.4
6575-SUVOI,Is subscribed for 25 months at a monthly cost of 69.5,Month-to-month Credit card (automatic) paperless billing,1752.65
7495-OOKFY,Was subscribed for 8 months at a monthly cost of 80.65,Month-to-month Credit card (automatic) paperless billing,633.3
4667-QONEA,Is subscribed for 60 months at a monthly cost of 74.85,One year Credit card (automatic) paperless billing,4456.35
1658-BYGOY,Was subscribed for 18 months at a monthly cost of 95.45,Month-to-month Electronic check paperless billing,1752.55
8769-KKTPH,Is subscribed for 63 months at a monthly cost of 99.65,One year Credit card (automatic) paperless billing,6311.2
5067-XJQFU,Is subscribed for 66 months at a monthly cost of 108.45,One year Electronic check paperless billing,7076.35
3957-SQXML,Is subscribed for 34 months at a monthly cost of 24.95,Two year Credit card (automatic),894.3
5954-BDFSG,Is subscribed for 72 months at a monthly cost of 107.5,Two year Credit card (automatic) paperless billing,7853.7
0434-CSFON,Is subscribed for 47 months at a monthly cost of 100.5,Month-to-month Electronic check paperless billing,4707.1
1215-FIGMP,Is subscribed for 60 months at a monthly cost of 89.9,Month-to-month Bank transfer (automatic) paperless billing,5450.7
0526-SXDJP,Is subscribed for 72 months at a monthly cost of 42.1,Two year Bank transfer (automatic),2962
0557-ASKVU,Is subscribed for 18 months at a monthly cost of 54.4,One year Credit card (automatic) paperless billing,957.1
5698-BQJOH,Was subscribed for 9 months at a monthly cost of 94.4,Month-to-month Electronic check,857.25
5122-CYFXA,Is subscribed for 3 months at a monthly cost of 75.3,Month-to-month Electronic check paperless billing,244.1
8627-ZYGSZ,Is subscribed for 47 months at a monthly cost of 78.9,One year Electronic check paperless billing,3650.35
3410-YOQBQ,Is subscribed for 31 months at a monthly cost of 79.2,Two year Mailed check,2497.2
3170-NMYVV,Is subscribed for 50 months at a monthly cost of 20.15,Two year Bank transfer (automatic),930.9
7410-OIEDU,Is subscribed for 10 months at a monthly cost of 79.85,Month-to-month Mailed check paperless billing,887.35
2273-QCKXA,Is subscribed for 1 months at a monthly cost of 49.05,Month-to-month Mailed check,49.05
0731-EBJQB,Is subscribed for 52 months at a monthly cost of 20.4,One year Electronic check paperless billing,1090.65
1891-QRQSA,Is subscribed for 64 months at a monthly cost of 111.6,Two year Bank transfer (automatic) paperless billing,7099
8028-PNXHQ,Is subscribed for 62 months at a monthly cost of 24.25,Two year Bank transfer (automatic) paperless billing,1424.6
5630-AHZIL,Is subscribed for 3 months at a monthly cost of 64.5,Month-to-month Bank transfer (automatic) paperless billing,177.4
2673-CXQEU,Is subscribed for 56 months at a monthly cost of 110.5,One year Electronic check,6139.5
6416-JNVRK,Is subscribed for 46 months at a monthly cost of 55.65,One year Credit card (automatic),2688.85
5590-ZSKRV,Is subscribed for 8 months at a monthly cost of 54.65,Month-to-month Mailed check,482.25
0191-ZHSKZ,Is subscribed for 30 months at a monthly cost of 74.75,Month-to-month Electronic check paperless billing,2111.3
3887-PBQAO,Is subscribed for 45 months at a monthly cost of 25.9,One year Credit card (automatic) paperless billing,1216.6
5919-TMRGD,Was subscribed for 1 months at a monthly cost of 79.35,Month-to-month Electronic check paperless billing,79.35
8108-UXRQN,Is subscribed for 11 months at a monthly cost of 50.55,Month-to-month Electronic check,565.35
9191-MYQKX,Was subscribed for 7 months at a monthly cost of 75.15,Month-to-month Bank transfer (automatic) paperless billing,496.9
9919-YLNNG,Is subscribed for 42 months at a monthly cost of 103.8,Month-to-month Bank transfer (automatic) paperless billing,4327.5
0318-ZOPWS,Is subscribed for 49 months at a monthly cost of 20.15,Two year Bank transfer (automatic) paperless billing,973.35
4445-ZJNMU,Is subscribed for 9 months at a monthly cost of 99.3,Month-to-month Credit card (automatic) paperless billing,918.75
4808-YNLEU,Is subscribed for 35 months at a monthly cost of 62.15,One year Bank transfer (automatic) paperless billing,2215.45
1862-QRWPE,Is subscribed for 48 months at a monthly cost of 20.65,Two year Bank transfer (automatic),1057
2796-NNUFI,Is subscribed for 46 months at a monthly cost of 19.95,Two year Mailed check paperless billing,927.1
3016-KSVCP,Is subscribed for 29 months at a monthly cost of 33.75,Month-to-month Mailed check,1009.25
4767-HZZHQ,Is subscribed for 30 months at a monthly cost of 82.05,Month-to-month Bank transfer (automatic),2570.2
2424-WVHPL,Is subscribed for 1 months at a monthly cost of 74.7,Month-to-month Electronic check,74.7
7233-PAHHL,Is subscribed for 66 months at a monthly cost of 84.0,Two year Mailed check paperless billing,5714.25
6067-NGCEU,Is subscribed for 65 months at a monthly cost of 111.05,Month-to-month Credit card (automatic) paperless billing,7107
9848-JQJTX,Is subscribed for 72 months at a monthly cost of 100.9,Two year Bank transfer (automatic) paperless billing,7459.05
8637-XJIVR,Was subscribed for 12 months at a monthly cost of 78.95,Month-to-month Electronic check paperless billing,927.35
9803-FTJCG,Is subscribed for 71 months at a monthly cost of 66.85,One year Credit card (automatic) paperless billing,4748.7
0278-YXOOG,Was subscribed for 5 months at a monthly cost of 21.05,Month-to-month Mailed check,113.85
3212-KXOCR,Is subscribed for 52 months at a monthly cost of 21.0,Two year Bank transfer (automatic),1107.2
4598-XLKNJ,Was subscribed for 25 months at a monthly cost of 98.5,Month-to-month Electronic check paperless billing,2514.5
6380-ARCEH,Is subscribed for 1 months at a monthly cost of 20.2,Month-to-month Mailed check,20.2
3679-XASPY,Is subscribed for 1 months at a monthly cost of 19.45,Month-to-month Electronic check,19.45
7123-WQUHX,Is subscribed for 38 months at a monthly cost of 95.0,One year Bank transfer (automatic),3605.6
5386-THSLQ,Is subscribed for 66 months at a monthly cost of 45.55,One year Bank transfer (automatic),3027.25
3192-NQECA,Was subscribed for 68 months at a monthly cost of 110.0,Two year Bank transfer (automatic) paperless billing,7611.85
6180-YBIQI,Is subscribed for 5 months at a monthly cost of 24.3,Month-to-month Mailed check,100.2
6728-DKUCO,Is subscribed for 72 months at a monthly cost of 104.15,One year Electronic check paperless billing,7303.05
9750-BOOHV,Is subscribed for 32 months at a monthly cost of 30.15,One year Mailed check,927.65
8597-CWYHH,Is subscribed for 43 months at a monthly cost of 94.35,One year Mailed check,3921.3
2848-YXSMW,Is subscribed for 72 months at a monthly cost of 19.4,Two year Credit card (automatic),1363.25
0486-HECZI,Was subscribed for 55 months at a monthly cost of 96.75,Month-to-month Electronic check paperless billing,5238.9
4549-ZDQYY,Is subscribed for 52 months at a monthly cost of 57.95,One year Credit card (automatic),3042.25
5712-AHQNN,Is subscribed for 43 months at a monthly cost of 91.65,Month-to-month Electronic check paperless billing,3954.1
4846-WHAFZ,Was subscribed for 37 months at a monthly cost of 76.5,Month-to-month Electronic check paperless billing,2868.15
5256-SKJGO,Is subscribed for 64 months at a monthly cost of 54.6,Two year Electronic check paperless billing,3423.5
3071-VBYPO,Is subscribed for 3 months at a monthly cost of 89.85,Month-to-month Electronic check,248.4
9560-BBZXK,Is subscribed for 36 months at a monthly cost of 31.05,Two year Bank transfer (automatic),1126.35
5299-RULOA,Was subscribed for 10 months at a monthly cost of 100.25,Month-to-month Electronic check paperless billing,1064.65
8402-OOOHJ,Is subscribed for 41 months at a monthly cost of 20.65,Two year Mailed check,835.15
9445-ZUEQE,Is subscribed for 27 months at a monthly cost of 85.2,Month-to-month Credit card (automatic) paperless billing,2151.6
1091-SOZGA,Is subscribed for 56 months at a monthly cost of 99.8,One year Credit card (automatic) paperless billing,5515.45
2928-HLDBA,Is subscribed for 6 months at a monthly cost of 20.7,Month-to-month Mailed check,112.75
0404-SWRVG,Was subscribed for 3 months at a monthly cost of 74.4,Month-to-month Electronic check paperless billing,229.55
6497-TILVL,Is subscribed for 7 months at a monthly cost of 50.7,Month-to-month Mailed check,350.35
7219-TLZHO,Is subscribed for 4 months at a monthly cost of 20.85,Month-to-month Mailed check,62.9
4622-YNKIJ,Is subscribed for 33 months at a monthly cost of 88.95,Two year Electronic check paperless billing,3027.65
4412-YLTKF,Was subscribed for 27 months at a monthly cost of 78.05,Month-to-month Electronic check paperless billing,2135.5
6734-PSBAW,Is subscribed for 72 months at a monthly cost of 23.55,Two year Bank transfer (automatic) paperless billing,1723.95
3930-ZGWVE,Is subscribed for 1 months at a monthly cost of 19.75,Month-to-month Mailed check,19.75
2639-UGMAZ,Is subscribed for 71 months at a monthly cost of 56.45,One year Electronic check paperless billing,3985.35
2876-GZYZC,Is subscribed for 13 months at a monthly cost of 85.95,Month-to-month Electronic check paperless billing,1215.65
6207-WIOLX,Was subscribed for 25 months at a monthly cost of 58.6,Month-to-month Credit card (automatic) paperless billing,1502.65
8587-XYZSF,Is subscribed for 67 months at a monthly cost of 50.55,Two year Bank transfer (automatic),3260.1
3091-FYHKI,Was subscribed for 1 months at a monthly cost of 35.45,Month-to-month Electronic check paperless billing,35.45
2372-HWUHI,Was subscribed for 2 months at a monthly cost of 44.35,Month-to-month Electronic check,81.25
7799-LGRDP,Is subscribed for 43 months at a monthly cost of 25.7,Two year Credit card (automatic) paperless billing,1188.2
7850-VWJUU,Is subscribed for 23 months at a monthly cost of 75.0,Month-to-month Bank transfer (automatic) paperless billing,1778.5
3774-VBNXY,Is subscribed for 64 months at a monthly cost of 20.2,Two year Mailed check,1277.75
6217-KDYWC,Is subscribed for 57 months at a monthly cost of 19.6,Two year Mailed check paperless billing,1170.55
0390-DCFDQ,Was subscribed for 1 months at a monthly cost of 70.45,Month-to-month Mailed check paperless billing,70.45
3146-MSEGF,Is subscribed for 72 months at a monthly cost of 88.05,Two year Credit card (automatic) paperless billing,6425.65
4080-OGPJL,Was subscribed for 8 months at a monthly cost of 71.15,Month-to-month Electronic check,563.65
1095-WGNGG,Is subscribed for 61 months at a monthly cost of 101.05,Two year Bank transfer (automatic) paperless billing,5971.25
2636-SJDOU,Is subscribed for 64 months at a monthly cost of 84.3,One year Credit card (automatic) paperless billing,5289.05
1131-QQZEB,Is subscribed for 71 months at a monthly cost of 23.95,Two year Bank transfer (automatic),1756.2
5716-EZXZN,Is subscribed for 65 months at a monthly cost of 99.05,Two year Credit card (automatic) paperless billing,6416.7
6837-BJYDQ,Is subscribed for 3 months at a monthly cost of 19.6,One year Mailed check,61.35
2135-RXIHG,Was subscribed for 1 months at a monthly cost of 45.65,Month-to-month Electronic check paperless billing,45.65
6440-DKQGE,Is subscribed for 30 months at a monthly cost of 64.5,One year Credit card (automatic),1929.95
3466-BYAVD,Is subscribed for 15 months at a monthly cost of 69.5,Month-to-month Mailed check paperless billing,1071.4
3780-YVMFA,Is subscribed for 8 months at a monthly cost of 68.55,Month-to-month Electronic check paperless billing,564.35
3874-EQOEP,Was subscribed for 7 months at a monthly cost of 95.0,Month-to-month Mailed check,655.5
1679-JRFBR,Is subscribed for 70 months at a monthly cost of 108.15,One year Credit card (automatic) paperless billing,7930.55
9073-ZZIAY,Is subscribed for 62 months at a monthly cost of 86.1,Two year Electronic check,5215.25
3077-RSNTJ,Is subscribed for 6 months at a monthly cost of 19.7,Month-to-month Mailed check,113.5
6551-GNYDG,Is subscribed for 14 months at a monthly cost of 80.9,Month-to-month Bank transfer (automatic) paperless billing,1152.8
9167-APMXZ,Is subscribed for 22 months at a monthly cost of 84.15,Month-to-month Bank transfer (automatic) paperless billing,1821.95
2749-CTKAJ,Is subscribed for 22 months at a monthly cost of 20.15,One year Mailed check,419.9
6371-NZYEG,Is subscribed for 16 months at a monthly cost of 64.25,Two year Mailed check,1024
7554-NEWDD,Is subscribed for 10 months at a monthly cost of 25.7,Two year Bank transfer (automatic),251.6
8992-VONJD,Is subscribed for 13 months at a monthly cost of 56.0,Month-to-month Electronic check paperless billing,764.55
0867-MKZVY,Was subscribed for 20 months at a monthly cost of 82.4,Month-to-month Electronic check,1592.35
4482-EWFMI,Is subscribed for 2 months at a monthly cost of 69.7,Month-to-month Electronic check paperless billing,135.2
4648-YPBTM,Is subscribed for 53 months at a monthly cost of 73.9,Two year Bank transfer (automatic) paperless billing,3958.25
2907-ILJBN,Is subscribed for 11 months at a monthly cost of 20.6,One year Mailed check,233.9
6345-FZOQH,Is subscribed for 69 months at a monthly cost of 19.9,Two year Mailed check,1363.45
3376-BMGFE,Was subscribed for 4 months at a monthly cost of 70.9,Month-to-month Bank transfer (automatic) paperless billing,273
5997-OPVFA,Is subscribed for 72 months at a monthly cost of 89.05,Two year Bank transfer (automatic) paperless billing,6254.45
3445-HXXGF,Was subscribed for 58 months at a monthly cost of 45.3,Month-to-month Electronic check paperless billing,2651.2
1159-WFSGR,Is subscribed for 16 months at a monthly cost of 20.4,Month-to-month Electronic check,321.4
7654-YWJUF,Is subscribed for 43 months at a monthly cost of 84.25,One year Bank transfer (automatic) paperless billing,3539.25
1875-QIVME,Was subscribed for 2 months at a monthly cost of 104.4,Month-to-month Electronic check paperless billing,242.8
6727-IOTLZ,Is subscribed for 14 months at a monthly cost of 81.95,Two year Mailed check,1181.75
0691-JVSYA,Was subscribed for 53 months at a monthly cost of 94.85,One year Bank transfer (automatic) paperless billing,5000.2
5918-VUKWP,Is subscribed for 32 months at a monthly cost of 20.55,One year Bank transfer (automatic),654.55
1744-JHKYS,Is subscribed for 34 months at a monthly cost of 24.7,Month-to-month Electronic check,780.2
2656-FMOKZ,Was subscribed for 15 months at a monthly cost of 74.45,Month-to-month Mailed check paperless billing,1145.7
2070-FNEXE,Was subscribed for 7 months at a monthly cost of 76.45,Month-to-month Bank transfer (automatic),503.6
5947-SGKCL,Is subscribed for 15 months at a monthly cost of 105.35,Month-to-month Bank transfer (automatic) paperless billing,1559.25
3712-PKXZA,Is subscribed for 61 months at a monthly cost of 20.55,One year Credit card (automatic) paperless billing,1252
6317-YPKDH,Was subscribed for 1 months at a monthly cost of 29.95,Month-to-month Bank transfer (automatic),29.95
6582-OIVSP,Is subscribed for 1 months at a monthly cost of 45.3,Month-to-month Mailed check,45.3
9367-WXLCH,Was subscribed for 8 months at a monthly cost of 84.5,Month-to-month Bank transfer (automatic),662.65
5524-KHNJP,Is subscribed for 33 months at a monthly cost of 74.75,One year Credit card (automatic),2453.3
1918-ZBFQJ,Was subscribed for 13 months at a monthly cost of 79.25,Month-to-month Electronic check paperless billing,1111.65
1024-GUALD,Was subscribed for 1 months at a monthly cost of 24.8,Month-to-month Electronic check paperless billing,24.8
4827-USJHP,Is subscribed for 20 months at a monthly cost of 51.8,Month-to-month Mailed check paperless billing,1023.85
8167-GJLRN,Is subscribed for 3 months at a monthly cost of 30.4,Month-to-month Electronic check,82.15
0956-SYCWG,Is subscribed for 13 months at a monthly cost of 19.65,One year Electronic check,244.8
8017-UVSZU,Is subscribed for 40 months at a monthly cost of 56.6,Month-to-month Credit card (automatic),2379.1
7100-FQPRV,Is subscribed for 43 months at a monthly cost of 71.9,One year Credit card (automatic) paperless billing,3173.35
2472-OVKUP,Was subscribed for 6 months at a monthly cost of 91.0,Month-to-month Electronic check paperless billing,531
2984-RGEYA,Is subscribed for 69 months at a monthly cost of 19.75,Two year Bank transfer (automatic),1375.4
9680-NIAUV,Is subscribed for 72 months at a monthly cost of 109.7,Two year Credit card (automatic),8129.3
2146-EGVDT,Is subscribed for 59 months at a monthly cost of 19.3,Two year Credit card (automatic),1192.7
2604-IJPDU,Is subscribed for 20 months at a monthly cost of 96.55,Month-to-month Electronic check paperless billing,1901.65
9178-JHUVJ,Is subscribed for 24 months at a monthly cost of 24.1,Two year Bank transfer (automatic) paperless billing,587.4
6168-YBYNP,Is subscribed for 59 months at a monthly cost of 111.35,Month-to-month Electronic check paperless billing,6519.75
7255-SSFBC,Is subscribed for 72 months at a monthly cost of 112.25,Two year Bank transfer (automatic) paperless billing,8041.65
3645-DEYGF,Is subscribed for 1 months at a monthly cost of 20.75,Month-to-month Mailed check,20.75
9323-HGFWY,Is subscribed for 27 months at a monthly cost of 101.9,One year Credit card (automatic) paperless billing,2681.15
8544-GOQSH,Is subscribed for 14 months at a monthly cost of 80.05,Month-to-month Credit card (automatic) paperless billing,1112.3
3363-DTIVD,Is subscribed for 71 months at a monthly cost of 105.55,Two year Electronic check,7405.5
7018-WBJNK,Is subscribed for 13 months at a monthly cost of 78.3,Month-to-month Credit card (automatic) paperless billing,1033.95
9142-KZXOP,Is subscribed for 44 months at a monthly cost of 68.85,Month-to-month Credit card (automatic),2958.95
7674-YTAFD,Is subscribed for 33 months at a monthly cost of 79.95,One year Bank transfer (automatic) paperless billing,2684.85
6348-SNFUS,Is subscribed for 72 months at a monthly cost of 55.45,Two year Credit card (automatic) paperless billing,4179.2
1285-OKIPP,Was subscribed for 1 months at a monthly cost of 79.9,Month-to-month Electronic check,79.9
7825-ECJRF,Was subscribed for 19 months at a monthly cost of 106.6,Month-to-month Electronic check paperless billing,1934.45
1347-KTTTA,Is subscribed for 64 months at a monthly cost of 102.45,One year Credit card (automatic) paperless billing,6654.1
7841-TZDMQ,Was subscribed for 2 months at a monthly cost of 46.0,Month-to-month Credit card (automatic) paperless billing,84.5
4195-NZGTA,Is subscribed for 1 months at a monthly cost of 25.25,Month-to-month Electronic check,25.25
7157-SMCFK,Is subscribed for 61 months at a monthly cost of 19.75,Two year Mailed check,1124.2
4709-LKHYG,Is subscribed for 29 months at a monthly cost of 20.0,One year Electronic check,540.05
2504-DSHIH,Is subscribed for 23 months at a monthly cost of 86.8,Month-to-month Electronic check,1975.85
0699-NDKJM,Is subscribed for 57 months at a monthly cost of 58.75,Month-to-month Bank transfer (automatic) paperless billing,3437.45
9286-BHDQG,Is subscribed for 72 months at a monthly cost of 45.25,Two year Credit card (automatic),3139.8
0230-WEQUW,Is subscribed for 66 months at a monthly cost of 56.6,Two year Bank transfer (automatic) paperless billing,3789.2
2040-LDIWQ,Is subscribed for 65 months at a monthly cost of 84.2,Two year Bank transfer (automatic) paperless billing,5324.5
6496-JDSSB,Is subscribed for 8 months at a monthly cost of 80.0,Month-to-month Bank transfer (automatic) paperless billing,624.6
9408-SSNVZ,Was subscribed for 4 months at a monthly cost of 70.15,Month-to-month Electronic check paperless billing,268.35
4443-EMBNA,Is subscribed for 71 months at a monthly cost of 24.75,Two year Bank transfer (automatic),1836.9
6469-MRVET,Is subscribed for 1 months at a monthly cost of 20.2,One year Electronic check paperless billing,20.2
0742-MOABM,Was subscribed for 4 months at a monthly cost of 50.05,Month-to-month Mailed check,179.35
5961-VUSRV,Is subscribed for 12 months at a monthly cost of 19.35,One year Bank transfer (automatic) paperless billing,219.35
6778-JFCMK,Is subscribed for 24 months at a monthly cost of 50.6,One year Mailed check paperless billing,1288.75
6341-JVQGF,Is subscribed for 31 months at a monthly cost of 81.15,One year Mailed check paperless billing,2545.75
2232-DMLXU,Was subscribed for 1 months at a monthly cost of 55.2,Month-to-month Mailed check,55.2
4811-JBUVU,Is subscribed for 30 months at a monthly cost of 89.9,Month-to-month Credit card (automatic) paperless billing,2723.15
0945-TSONX,Is subscribed for 47 months at a monthly cost of 85.3,Two year Credit card (automatic) paperless billing,4107.25
2651-ZCBXV,Is subscribed for 54 months at a monthly cost of 108.0,Two year Credit card (automatic) paperless billing,5760.65
3316-UWXUY,Is subscribed for 50 months at a monthly cost of 93.5,Month-to-month Credit card (automatic) paperless billing,4747.5
8937-RDTHP,Was subscribed for 1 months at a monthly cost of 84.6,Month-to-month Mailed check paperless billing,84.6
7083-MIOPC,Is subscribed for 72 months at a monthly cost of 20.25,Two year Credit card (automatic),1566.9
1984-GPTEH,Is subscribed for 29 months at a monthly cost of 25.15,Month-to-month Electronic check,702
1251-KRREG,Was subscribed for 2 months at a monthly cost of 54.4,Month-to-month Mailed check paperless billing,114.1
0621-JFHOL,Is subscribed for 10 months at a monthly cost of 29.6,Two year Mailed check paperless billing,299.05
9903-LYSAB,Is subscribed for 18 months at a monthly cost of 73.15,Month-to-month Electronic check paperless billing,1305.95
0094-OIFMO,Was subscribed for 11 months at a monthly cost of 95.0,Month-to-month Electronic check paperless billing,1120.3
9227-UAQFT,Is subscribed for 16 months at a monthly cost of 19.75,Two year Mailed check,284.35
7301-ABVAD,Is subscribed for 72 months at a monthly cost of 86.6,Two year Bank transfer (automatic),6350.5
6614-FHDBO,Is subscribed for 72 months at a monthly cost of 109.2,Two year Bank transfer (automatic),7878.3
7576-ASEJU,Is subscribed for 41 months at a monthly cost of 74.7,One year Credit card (automatic) paperless billing,3187.65
9058-HRZSV,Is subscribed for 65 months at a monthly cost of 94.4,Month-to-month Electronic check,6126.15
4522-AKYLR,Is subscribed for 13 months at a monthly cost of 54.8,Month-to-month Electronic check paperless billing,731.3
0221-WMXNQ,Is subscribed for 4 months at a monthly cost of 75.35,Month-to-month Electronic check,273.4
0303-UNCIP,Is subscribed for 41 months at a monthly cost of 65.0,One year Mailed check,2531.8
9947-OTFQU,Was subscribed for 15 months at a monthly cost of 74.4,Month-to-month Electronic check paperless billing,1074.3
0322-YINQP,Was subscribed for 1 months at a monthly cost of 48.55,Month-to-month Mailed check paperless billing,48.55
0959-WHOKV,Is subscribed for 42 months at a monthly cost of 99.0,One year Electronic check paperless billing,4298.45
4075-JFPGR,Is subscribed for 51 months at a monthly cost of 93.5,One year Electronic check paperless billing,4619.55
4629-NRXKX,Was subscribed for 2 months at a monthly cost of 70.4,Month-to-month Electronic check,147.15
9514-JDSKI,Was subscribed for 1 months at a monthly cost of 40.2,Month-to-month Electronic check,40.2
3282-ZISZV,Is subscribed for 32 months at a monthly cost of 83.7,One year Credit card (automatic),2633.3
3675-YDUPJ,Is subscribed for 10 months at a monthly cost of 19.85,Month-to-month Mailed check paperless billing,193.05
4111-BNXIF,Is subscribed for 67 months at a monthly cost of 59.55,Two year Electronic check paperless billing,4103.9
7017-VFHAY,Is subscribed for 61 months at a monthly cost of 115.1,Two year Credit card (automatic),7008.15
6655-LHBYW,Is subscribed for 50 months at a monthly cost of 114.35,One year Credit card (automatic),5791.1
4959-JOSRX,Was subscribed for 2 months at a monthly cost of 44.6,Month-to-month Credit card (automatic) paperless billing,80.55
5046-NUHWD,Is subscribed for 29 months at a monthly cost of 45.0,Month-to-month Electronic check paperless billing,1228.65
7273-TEFQD,Was subscribed for 3 months at a monthly cost of 41.15,Month-to-month Electronic check paperless billing,132.2
3606-TWKGI,Was subscribed for 13 months at a monthly cost of 106.9,Month-to-month Electronic check paperless billing,1364.3
7529-ZDFXI,Is subscribed for 57 months at a monthly cost of 89.85,Month-to-month Electronic check paperless billing,4925.35
